"org.apache.directory.shared:shared-ldap:0.9.13","commons-lang:commons-lang:2.4","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","commons-lang:commons-lang:2.3","Provided"
"org.apache.directory.shared:shared-ldap:0.9.12","commons-lang:commons-lang:2.3","Runtime"
"org.apache.directory.shared:shared-ldap:0.9.12","org.apache.directory.shared:shared-asn1:0.9.7","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","commons-lang:commons-lang:2.3","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","org.apache.directory.shared:shared-ldap-constants:0.9.7","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","commons-collections:commons-collections:3.2","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","org.apache.directory.shared:shared-asn1:0.9.12","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","antlr:antlr:2.7.7","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","org.apache.directory.shared:shared-ldap-constants:0.9.12","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","org.slf4j:slf4j-api:1.4.3","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","com.nhncorp.ntaf:ntaf-webkit:20101102","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","org.apache.directory.shared:shared-converter:0.9.10","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","org.apache.camel:camel-example-spring:1.6.2","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","org.springframework:spring-tx:2.5.6","Compile"
"org.apache.directory.shared:shared-ldap:0.9.12","org.springframework:spring-aop:2.5.6","Compile"
"org.apache.directory.shared:shared-asn1:0.9.13","org.slf4j:slf4j-api:1.5.2","Compile"
"org.apache.directory.shared:shared-ldap-constants:0.9.13","org.slf4j:slf4j-api:1.5.2","Compile"
"org.apache.directory.shared:shared-asn1:0.9.12","org.slf4j:slf4j-api:1.4.3","Compile"
"org.apache.directory.shared:shared-ldap-constants:0.9.12","org.slf4j:slf4j-api:1.4.3","Compile"
"org.apache.cxf:cxf-wsdl-validator-plugin:2.3.6","org.apache.cxf:cxf-tools-validator:2.3.6","Compile"
"org.apache.cxf:cxf-wsdl-validator-plugin:2.3.6","org.apache.cxf:cxf-common-utilities:2.3.6","Compile"
"org.apache.cxf:cxf-wsdl-validator-plugin:2.3.6","org.apache.directory.shared:shared-integ:1.0.0-M8","Compile"
"org.apache.cxf:cxf-wsdl-validator-plugin:2.3.6","org.apache.cxf:cxf-tools-common:2.3.6","Compile"
"org.apache.cxf:cxf-tools-common:2.3.6","com.sun.xml.bind:jaxb-impl:2.2.1.1","Compile"
"org.apache.cxf:cxf-tools-common:2.3.6","com.sun.xml.bind:jaxb-xjc:2.2.1.1","Compile"
"org.apache.cxf:cxf-tools-common:2.3.6","org.apache.cxf:cxf-common-utilities:2.3.6","Compile"
"org.apache.cxf:cxf-tools-common:2.3.6","wsdl4j:wsdl4j:1.6.2","Compile"
"org.apache.cxf:cxf-tools-common:2.3.6","org.apache.cxf:cxf-rt-core:2.3.6","Compile"
"org.apache.cxf:cxf-tools-common:2.3.6","org.apache.cxf:cxf-api:2.3.6","Compile"
"org.apache.cxf:cxf-tools-common:2.3.6","com.sun.xml.bind:jaxb-impl:2.1.13","Compile"
"org.apache.cxf:cxf-tools-common:2.3.6","com.sun.xml.bind:jaxb-xjc:2.1.13","Compile"
"org.apache.cxf:cxf-tools-common:2.3.6","org.apache.velocity:velocity:1.6.4","Compile"
"org.apache.directory.shared:shared-ldap:0.9.10","commons-lang:commons-lang:2.3","Compile"
"org.apache.directory.shared:shared-ldap:0.9.10","commons-collections:commons-collections:3.2","Compile"
"org.apache.directory.shared:shared-ldap:0.9.10","org.apache.directory.shared:shared-ldap:0.9.19","Compile"
"org.apache.directory.shared:shared-ldap:0.9.10","org.apache.directory.shared:shared-asn1:0.9.10","Compile"
"org.apache.directory.shared:shared-ldap:0.9.10","org.apache.directory.shared:shared-ldap-constants:0.9.10","Compile"
"org.apache.directory.shared:shared-ldap:0.9.10","antlr:antlr:2.7.7","Compile"
"org.apache.directory.shared:shared-ldap:0.9.10","org.slf4j:slf4j-api:1.4.3","Compile"
"org.apache.directory.shared:shared-ldap:0.9.10","org.apache.ws.commons.schema:XmlSchema:1.4.2","Compile"
"org.apache.directory.shared:shared-ldap:0.9.10","org.apache.directory.shared:shared-asn1:0.9.12","Compile"
"org.apache.directory.shared:shared-ldap:0.9.10","org.apache.directory.shared:shared-ldap-constants:0.9.12","Compile"
"org.apache.directory.shared:shared-integ:1.0.0-M8","org.apache.ws.commons.schema:XmlSchema:1.4.7","Compile"
"org.apache.directory.shared:shared-integ:1.0.0-M8","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.directory.shared:shared-asn1:0.9.10","org.slf4j:slf4j-api:1.4.3","Compile"
"org.apache.velocity:velocity:1.6.4","commons-collections:commons-collections:3.2.1","Runtime"
"org.apache.velocity:velocity:1.6.4","oro:oro:2.0.8","Runtime"
"org.apache.velocity:velocity:1.6.4","commons-lang:commons-lang:2.6","Provided"
"org.apache.velocity:velocity:1.6.4","commons-collections:commons-collections:3.2.1","Provided"
"org.apache.velocity:velocity:1.6.4","commons-collections:commons-collections:3.2.1","Compile"
"org.apache.velocity:velocity:1.6.4","commons-lang:commons-lang:2.6","Compile"
"org.apache.velocity:velocity:1.6.4","org.apache.directory.shared:shared-integ:1.0.0-M6","Compile"
"org.apache.velocity:velocity:1.6.4","oro:oro:2.0.8","Compile"
"org.apache.velocity:velocity:1.6.4","wsdl4j:wsdl4j:1.6.2","Compile"
"org.apache.velocity:velocity:1.6.4","javax.activation:activation:1.1","Compile"
"org.apache.velocity:velocity:1.6.4","commons-lang:commons-lang:2.5","Compile"
"org.apache.velocity:velocity:1.6.4","commons-beanutils:commons-beanutils-core:1.7.0","Compile"
"	:velocity:1.6.4","commons-collections:commons-collections:3.1","Compile"
"org.apache.velocity:velocity:1.6.4","commons-lang:commons-lang:2.4","Compile"
"org.apache.velocity:velocity:1.6.4","org.apache.commons:commons-parent:2","Compile"
"org.apache.directory.shared:shared-ldap-constants:0.9.10","org.slf4j:slf4j-api:1.4.3","Compile"
"org.apache.directory.shared:shared-integ:1.0.0-M6","org.slf4j:slf4j-api:1.6.1","Compile"
"com.sun.xml.bind:jaxb-xjc:2.1.13","com.sun.xml.bind:jaxb-impl:2.1.13","Compile"
"com.sun.xml.bind:jaxb-impl:2.1.13","javax.xml.bind:jaxb-api:2.1","Runtime"
"com.sun.xml.bind:jaxb-impl:2.1.13","javax.xml.bind:jaxb-api:2.1","Compile"
"org.apache.cxf:cxf-api:2.3.6","org.apache.neethi:neethi:2.0.5","Compile"
"org.apache.cxf:cxf-api:2.3.6","org.apache.cxf:cxf-common-utilities:2.3.6","Compile"
"org.apache.cxf:cxf-api:2.3.6","org.apache.ws.commons.schema:XmlSchema:1.4.7","Compile"
"org.apache.cxf:cxf-api:2.3.6","org.apache.cxf:cxf-common-schemas:2.3.6","Compile"
"org.apache.cxf:cxf-api:2.3.6","commons-lang:commons-lang:2.6","Compile"
"org.apache.cxf:cxf-api:2.3.6","org.apache.commons:commons-parent:15","Compile"
"org.apache.neethi:neethi:2.0.5","org.codehaus.woodstox:wstx-asl:3.2.4","Compile"
"org.apache.neethi:neethi:2.0.5","org.apache.ws.commons.axiom:axiom-impl:1.2.11","Runtime"
"org.apache.neethi:neethi:2.0.5","org.apache.ws.commons.axiom:axiom-api:1.2.11","Compile"
"org.apache.neethi:neethi:2.0.5","wsdl4j:wsdl4j:1.6.2","Compile"
"org.apache.neethi:neethi:2.0.5","jp.objectfanatics:assertion-constraints:0.0.30","Compile"
"org.apache.neethi:neethi:2.0.5","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.neethi:neethi:2.0.5","org.codehaus.woodstox:wstx-asl:3.2.9","Compile"
"org.apache.neethi:neethi:2.0.5","org.apache.ws.commons.axiom:axiom-api:1.2.12","Compile"
"org.apache.neethi:neethi:2.0.5","org.apache.ws.commons.schema:XmlSchema:1.4.3","Compile"
"org.apache.neethi:neethi:2.0.5","org.apache.ws.commons.axiom:axiom-impl:1.2.12","Compile"
"org.apache.neethi:neethi:2.0.5","org.apache.geronimo.specs:geronimo-activation_1.1_spec:1.0.2","Compile"
"org.apache.neethi:neethi:2.0.5","org.apache.geronimo.specs:geronimo-ws-metadata_2.0_spec:1.1.2","Compile"
"org.apache.neethi:neethi:2.0.5","org.apache.ant:ant:1.7.0","Compile"
"org.apache.cxf:cxf-rt-core:2.3.6","org.apache.geronimo.specs:geronimo-javamail_1.4_spec:1.7.1","Compile"
"org.apache.cxf:cxf-rt-core:2.3.6","com.sun.xml.bind:jaxb-impl:2.1.13","Compile"
"org.apache.cxf:cxf-rt-core:2.3.6","org.apache.ws.commons.schema:XmlSchema:1.4.7","Compile"
"org.apache.cxf:cxf-rt-core:2.3.6","org.apache.cxf:cxf-api:2.3.6","Compile"
"org.apache.cxf:cxf-rt-core:2.3.6","org.springframework:spring-core:3.0.5.RELEASE","Compile"
"org.apache.cxf:cxf-rt-core:2.3.6","org.springframework:spring-beans:3.0.5.RELEASE","Compile"
"org.apache.cxf:cxf-rt-core:2.3.6","org.springframework:spring-context:3.0.5.RELEASE","Compile"
"org.apache.cxf:cxf-rt-core:2.3.6","xml-resolver:xml-resolver:1.2","Compile"
"org.apache.cxf:cxf-rt-core:2.3.6","com.sun.xml.fastinfoset:FastInfoset:1.2.9","Compile"
"org.apache.cxf:cxf-common-utilities:2.3.6","org.slf4j:slf4j-api:1.6.1","Compile"
"org.apache.cxf:cxf-common-utilities:2.3.6","log4j:log4j:1.2.16","Compile"
"org.apache.cxf:cxf-common-utilities:2.3.6","commons-lang:commons-lang:2.6","Compile"
"org.apache.cxf:cxf-common-utilities:2.3.6","wsdl4j:wsdl4j:1.6.2","Compile"
"org.apache.cxf:cxf-common-utilities:2.3.6","org.springframework:spring-context:3.0.5.RELEASE","Compile"
"org.apache.cxf:cxf-common-utilities:2.3.6","org.springframework:spring-beans:3.0.5.RELEASE","Compile"